disp(nameNet)
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_1A
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_1A
Training on single CPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|      85 |        3800 |       00:20:19 |       93.48% |       0.1987 |          0.0010 |
|      86 |        3850 |       00:20:35 |       92.80% |       0.2160 |          0.0010 |
|      87 |        3900 |       00:20:52 |       92.98% |       0.2107 |          0.0010 |
|      88 |        3950 |       00:21:08 |       93.80% |       0.1875 |          0.0010 |
|      89 |        4000 |       00:21:25 |       93.48% |       0.1977 |          0.0010 |
|      90 |        4050 |       00:21:41 |       93.47% |       0.1975 |          0.0010 |
|      92 |        4100 |       00:21:58 |       92.99% |       0.2049 |          0.0010 |
|      93 |        4150 |       00:22:14 |       93.92% |       0.1840 |          0.0010 |
|      94 |        4200 |       00:22:31 |       93.64% |       0.1927 |          0.0010 |
|      95 |        4250 |       00:22:48 |       93.80% |       0.1892 |          0.0010 |
|      96 |        4300 |       00:23:05 |       93.07% |       0.2067 |          0.0010 |
|      97 |        4350 |       00:23:23 |       93.24% |       0.2019 |          0.0010 |
|      98 |        4400 |       00:23:40 |       94.05% |       0.1798 |          0.0010 |
|      99 |        4450 |       00:23:57 |       93.75% |       0.1893 |          0.0010 |
|     100 |        4500 |       00:24:13 |       93.75% |       0.1902 |          0.0010 |
|========================================================================================|
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_2A
Training on single CPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       18.82% |       5.2364 |          0.0010 |
|       2 |          50 |       00:00:16 |       48.98% |       1.2208 |          0.0010 |
|       3 |         100 |       00:00:33 |       59.94% |       0.9601 |          0.0010 |
|       4 |         150 |       00:00:50 |       62.23% |       0.8687 |          0.0010 |
|       5 |         200 |       00:01:06 |       65.90% |       0.8145 |          0.0010 |
|       6 |         250 |       00:01:23 |       67.50% |       0.7743 |          0.0010 |
|       7 |         300 |       00:01:39 |       65.22% |       0.7818 |          0.0010 |
|       8 |         350 |       00:01:56 |       66.97% |       0.7851 |          0.0010 |
|       9 |         400 |       00:02:12 |       68.21% |       0.7704 |          0.0010 |
|      10 |         450 |       00:02:29 |       74.24% |       0.6364 |          0.0010 |
|      12 |         500 |       00:02:45 |       71.09% |       0.6784 |          0.0010 |
|      13 |         550 |       00:03:01 |       72.75% |       0.6885 |          0.0010 |
|      14 |         600 |       00:03:17 |       69.07% |       0.7054 |          0.0010 |
|      15 |         650 |       00:03:33 |       72.24% |       0.6872 |          0.0010 |
|      16 |         700 |       00:03:49 |       73.31% |       0.6647 |          0.0010 |
|      17 |         750 |       00:04:05 |       70.83% |       0.6749 |          0.0010 |
|      18 |         800 |       00:04:22 |       71.06% |       0.7032 |          0.0010 |
|      19 |         850 |       00:04:38 |       71.77% |       0.6920 |          0.0010 |
|      20 |         900 |       00:04:54 |       77.47% |       0.5735 |          0.0010 |
|      22 |         950 |       00:05:10 |       74.79% |       0.6146 |          0.0010 |
|      23 |        1000 |       00:05:26 |       75.15% |       0.6305 |          0.0010 |
|      24 |        1050 |       00:05:43 |       71.07% |       0.6674 |          0.0010 |
|      25 |        1100 |       00:05:59 |       73.22% |       0.6591 |          0.0010 |
|      26 |        1150 |       00:06:15 |       74.59% |       0.6380 |          0.0010 |
|      27 |        1200 |       00:06:31 |       73.70% |       0.6251 |          0.0010 |
|      28 |        1250 |       00:06:47 |       73.09% |       0.6638 |          0.0010 |
|      29 |        1300 |       00:07:03 |       73.96% |       0.6456 |          0.0010 |
|      30 |        1350 |       00:07:19 |       78.57% |       0.5451 |          0.0010 |
|      32 |        1400 |       00:07:35 |       77.21% |       0.5728 |          0.0010 |
|      33 |        1450 |       00:07:51 |       77.16% |       0.5908 |          0.0010 |
|      34 |        1500 |       00:08:08 |       73.87% |       0.6300 |          0.0010 |
|      35 |        1550 |       00:08:24 |       75.82% |       0.6159 |          0.0010 |
|      36 |        1600 |       00:08:40 |       76.08% |       0.6027 |          0.0010 |
|      37 |        1650 |       00:08:55 |       75.97% |       0.5929 |          0.0010 |
|      38 |        1700 |       00:09:11 |       73.78% |       0.6506 |          0.0010 |
|      39 |        1750 |       00:09:26 |       75.79% |       0.6127 |          0.0010 |
|      40 |        1800 |       00:09:42 |       79.58% |       0.5242 |          0.0010 |
|      42 |        1850 |       00:09:57 |       78.47% |       0.5495 |          0.0010 |
|      43 |        1900 |       00:10:13 |       78.91% |       0.5618 |          0.0010 |
|      44 |        1950 |       00:10:28 |       75.42% |       0.6026 |          0.0010 |
|      45 |        2000 |       00:10:44 |       77.45% |       0.5846 |          0.0010 |
|      46 |        2050 |       00:11:00 |       77.21% |       0.5810 |          0.0010 |
|      47 |        2100 |       00:11:15 |       77.92% |       0.5687 |          0.0010 |
|      48 |        2150 |       00:11:31 |       74.53% |       0.6338 |          0.0010 |
|      49 |        2200 |       00:11:46 |       77.47% |       0.5850 |          0.0010 |
|      50 |        2250 |       00:12:02 |       80.40% |       0.5076 |          0.0010 |
|      52 |        2300 |       00:12:17 |       79.35% |       0.5278 |          0.0010 |
|      53 |        2350 |       00:12:33 |       79.89% |       0.5425 |          0.0010 |
|      54 |        2400 |       00:12:48 |       76.74% |       0.5778 |          0.0010 |
|      55 |        2450 |       00:13:03 |       79.08% |       0.5520 |          0.0010 |
|      56 |        2500 |       00:13:18 |       78.54% |       0.5580 |          0.0010 |
|      57 |        2550 |       00:13:33 |       79.39% |       0.5450 |          0.0010 |
|      58 |        2600 |       00:13:48 |       75.78% |       0.6058 |          0.0010 |
|      59 |        2650 |       00:14:03 |       78.67% |       0.5644 |          0.0010 |
|      60 |        2700 |       00:14:17 |       81.37% |       0.4859 |          0.0010 |
|      62 |        2750 |       00:14:32 |       80.43% |       0.5057 |          0.0010 |
|      63 |        2800 |       00:14:47 |       80.44% |       0.5269 |          0.0010 |
|      64 |        2850 |       00:15:02 |       77.38% |       0.5603 |          0.0010 |
|      65 |        2900 |       00:15:16 |       80.46% |       0.5265 |          0.0010 |
|      66 |        2950 |       00:15:31 |       79.46% |       0.5387 |          0.0010 |
|      67 |        3000 |       00:15:46 |       79.90% |       0.5294 |          0.0010 |
|      68 |        3050 |       00:16:01 |       77.10% |       0.5788 |          0.0010 |
|      69 |        3100 |       00:16:16 |       79.77% |       0.5446 |          0.0010 |
|      70 |        3150 |       00:16:31 |       81.77% |       0.4747 |          0.0010 |
|      72 |        3200 |       00:16:46 |       81.41% |       0.4856 |          0.0010 |
|      73 |        3250 |       00:17:01 |       81.21% |       0.5071 |          0.0010 |
|      74 |        3300 |       00:17:16 |       78.33% |       0.5430 |          0.0010 |
|      75 |        3350 |       00:17:31 |       81.37% |       0.5066 |          0.0010 |
|      76 |        3400 |       00:17:46 |       80.29% |       0.5221 |          0.0010 |
|      77 |        3450 |       00:18:00 |       80.86% |       0.5105 |          0.0010 |
|      78 |        3500 |       00:18:15 |       77.94% |       0.5619 |          0.0010 |
|      79 |        3550 |       00:18:30 |       80.73% |       0.5231 |          0.0010 |
|      80 |        3600 |       00:18:45 |       82.00% |       0.4647 |          0.0010 |
|      82 |        3650 |       00:19:00 |       82.20% |       0.4675 |          0.0010 |
|      83 |        3700 |       00:19:16 |       82.13% |       0.4877 |          0.0010 |
|      84 |        3750 |       00:19:31 |       79.06% |       0.5272 |          0.0010 |
|      85 |        3800 |       00:19:46 |       82.36% |       0.4852 |          0.0010 |
|      86 |        3850 |       00:20:01 |       81.17% |       0.5030 |          0.0010 |
|      87 |        3900 |       00:20:16 |       81.55% |       0.4933 |          0.0010 |
|      88 |        3950 |       00:20:31 |       78.78% |       0.5442 |          0.0010 |
|      89 |        4000 |       00:20:46 |       81.78% |       0.5039 |          0.0010 |
|      90 |        4050 |       00:21:01 |       82.28% |       0.4551 |          0.0010 |
|      92 |        4100 |       00:21:16 |       82.88% |       0.4515 |          0.0010 |
|      93 |        4150 |       00:21:31 |       82.94% |       0.4703 |          0.0010 |
|      94 |        4200 |       00:21:45 |       79.61% |       0.5152 |          0.0010 |
|      95 |        4250 |       00:22:00 |       83.36% |       0.4619 |          0.0010 |
|      96 |        4300 |       00:22:16 |       81.96% |       0.4847 |          0.0010 |
|      97 |        4350 |       00:22:31 |       82.14% |       0.4789 |          0.0010 |
|      98 |        4400 |       00:22:46 |       79.97% |       0.5204 |          0.0010 |
|      99 |        4450 |       00:23:01 |       82.68% |       0.4834 |          0.0010 |
|     100 |        4500 |       00:23:15 |       82.59% |       0.4443 |          0.0010 |
|========================================================================================|
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_3A
Training on single CPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       17.99% |       7.1370 |          0.0010 |
|       2 |          50 |       00:00:15 |       34.92% |       1.4215 |          0.0010 |
|       3 |         100 |       00:00:30 |       40.55% |       1.2589 |          0.0010 |
|       4 |         150 |       00:00:45 |       45.34% |       1.2032 |          0.0010 |
|       5 |         200 |       00:01:00 |       49.60% |       1.1356 |          0.0010 |
|       6 |         250 |       00:01:14 |       49.06% |       1.1398 |          0.0010 |
|       7 |         300 |       00:01:29 |       50.89% |       1.1274 |          0.0010 |
|       8 |         350 |       00:01:44 |       55.10% |       1.0735 |          0.0010 |
|       9 |         400 |       00:01:59 |       55.20% |       1.0667 |          0.0010 |
